130111,栾城区,3,栾城,Luancheng,130100,51430,37.90022,114.64834,10394,,1017,101090104,53789,1,luan cheng,L,LC
130121,井陉县,3,井陉,Jingxing,130100,50300,38.03688,114.14257,10391,,1017,,,0,jing xing,J,JX
130123,正定县,3,正定,Zhengding,130100,50800,38.14445,114.57296,10393,,1017,101090103,53691,1,zheng ding,Z,ZD
130125,行唐县,3,行唐,Xingtang,130100,50600,38.43654,114.55316,10395,,1017,101090105,53688,1,xing tang,X,XT
130126,灵寿县,3,灵寿,Lingshou,130100,50500,38.30845,114.38259,10396,,1017,101090106,53680,1,ling shou,L,LS
130127,高邑县,3,高邑,Gaoyi,130100,51330,37.61556,114.61142,10397,,1017,101090107,53790,1,gao yi,G,GY
130128,深泽县,3,深泽,Shenze,130100,52500,38.18353,115.20358,10398,,1017,101090108,54621,1,shen ze,S,SZ
130129,赞皇县,3,赞皇,Zanhuang,130100,51230,37.66135,114.38775,10399,,1017,101090109,53795,1,zan huang,Z,ZH
130130,无极县,3,无极,Wuji,130100,52460,38.17653,114.97509,10400,,1017,101090110,53699,1,wu ji,W,WJ
130131,平山县,3,平山,Pingshan,130100,50400,38.25994,114.186,10401,,1017,101090111,53694,1,ping shan,P,PS
130132,元氏县,3,元氏,Yuanshi,130100,51130,37.76668,114.52539,10402,,1017,101090112,53791,1,yuan shi,Y,YS
130133,赵县,3,赵县,Zhaoxian,130100,51530,37.75628,114.77612,10403,,1017,101090113,53784,1,zhao xian,Z,ZX
130181,辛集市,3,辛集,Xinji,130100,52360,37.94079,115.20626,10404,,1017,101090114,54701,1,xin ji,X,XJ
130183,晋州市,3,晋州,Jinzhou,130100,52200,38.03135,115.04348,10406,,1017,101090116,53689,1,jin zhou,J,JZ
130184,新乐市,3,新乐,Xinle,130100,50700,38.34417,114.68985,10407,,1017,101090117,53695,1,xin le,X,XL
130200,唐山市,2,唐山,Tangshan,130000,63000,39.635113,118.175393,10455,,1017,101090501,54534,1,tang shan,T,TS
130202,路南区,3,路南,Lunan,130200,63000,39.62505,118.15431,10455,,1017,,,0,lu nan,L,LN
130203,路北区,3,路北,Lubei,130200,63000,39.62436,118.20079,10455,,1017,,,0,lu bei,L,LB
130204,古冶区,3,古冶,Guye,130200,63100,39.71993,118.45803,10455,,1017,,,0,gu ye,G,GY
130205,开平区,3,开平,Kaiping,130200,63000,39.67128,118.26171,10455,,1017,,,0,kai ping,K,KP
130207,丰南区,3,丰南,Fengnan,130200,63300,39.56483,118.11282,10456,,1017,101090502,54533,1,feng nan,F,FN
130208,丰润区,3,丰润,Fengrun,130200,63000,39.8244,118.12976,10457,,1017,101090503,54532,1,feng run,F,FR
130209,曹妃甸区,3,曹妃甸,Caofeidian,130200,63200,39.27307,118.460379,10466,,1017,101090512,54534,1,cao fei dian,C,CFD
130223,滦县,3,滦县,Luanxian,130200,63700,39.74056,118.70346,10458,,1017,101090504,54531,1,luan xian,L,LX
130224,滦南县,3,滦南,Luannan,130200,63500,39.5039,118.6741,10459,,1017,101090505,54437,1,luan nan,L,LN
130225,乐亭县,3,乐亭,Laoting,130200,63600,39.42561,118.9125,10460,,1017,101090506,54539,1,le ting,L,LT
130227,迁西县,3,迁西,Qianxi,130200,64300,40.14587,118.31616,10461,,1017,101090507,54434,1,qian xi,Q,QX
130229,玉田县,3,玉田,Yutian,130200,64100,39.90049,117.7388,10462,,1017,101090508,54522,1,yu tian,Y,YT
130281,遵化市,3,遵化,Zunhua,130200,64200,40.18741,117.96444,10464,,1017,101090510,54429,1,zun hua,Z,ZH
130283,迁安市,3,迁安,"Qian'an",130200,64400,39.99833,118.70068,10465,,1017,101090511,54439,1,qian an,Q,QA
130300,秦皇岛市,2,秦皇岛,Qinhuangdao,130000,66000,39.942531,119.586579,10535,,1017,101091101,54449,1,qin huang dao,Q,QHD
130302,海港区,3,海港,Haigang,130300,66000,39.9345,119.61046,10535,,1017,,,0,hai gang,H,HG
130303,山海关区,3,山海关,Shanhaiguan,130300,66200,39.97869,119.77563,10535,,1017,,,0,shan hai guan,S,SHG
130304,北戴河区,3,北戴河,Beidaihe,130300,66100,39.83408,119.48388,10540,,1017,101091106,54449,1,bei dai he,B,BDH
130321,青龙满族自治县,3,青龙,Qinglong,130300,66500,40.40743,118.95242,10536,,1017,101091102,54436,1,qing long,Q,QL
130322,昌黎县,3,昌黎,Changli,130300,66600,39.70884,119.16595,10537,,1017,101091103,54540,1,chang li,C,CL
130323,抚宁区,3,抚宁,Funing,130300,66300,39.87538,119.24487,10538,,1017,101091104,54541,1,fu ning,F,FN
130324,卢龙县,3,卢龙,Lulong,130300,66400,39.89176,118.89288,10539,,1017,101091105,54438,1,lu long,L,LL
130325,北戴河新区,3,北戴河新区,Beidaihexinqu,130300,66311,39.76748,119.386541,10535,,1017,,,0,bei dai he xin qu,B,BDHXQ
130400,邯郸市,2,邯郸,Handan,130000,56000,36.612273,114.490686,10520,,1017,,,0,han dan,H,HD
130402,邯山区,3,邯山,Hanshan,130400,56000,36.60006,114.48375,10520,,1017,,,0,han shan,H,HS
130403,丛台区,3,丛台,Congtai,130400,56000,36.61847,114.49343,10520,,1017,,,0,cong tai,C,CT
130404,复兴区,3,复兴,Fuxing,130400,56000,36.61134,114.45928,10520,,1017,,,0,fu xing,F,FX
130406,峰峰矿区,3,峰峰矿区,Fengfengkuangqu,130400,56200,36.41937,114.21148,10520,,1017,101091002,53894,1,feng feng kuang qu,F,FFKQ
130421,邯郸县,3,邯郸,Handan,130400,56000,36.59385,114.53103,10519,,1017,101091001,53892,1,han dan,H,HD
130423,临漳县,3,临漳,Linzhang,130400,56600,36.33461,114.6195,10521,,1017,101091003,53773,1,lin zhang,L,LZ
130424,成安县,3,成安,"Cheng'an",130400,56700,36.44411,114.66995,10522,,1017,101091004,53996,1,cheng an,C,CA
130425,大名县,3,大名,Daming,130400,56900,36.27994,115.15362,10523,,1017,101091005,54804,1,da ming,D,DM
